,numéros,lieu,basiliques,justification,Sources,longitude,latitude
0,4,Carthage,,renvoi d’Augustin,,10.312944,36.847009
1,9,Chusa,,titre,,,
2,10 (Siniti),Siniti (?) (un castellum proche d’Hippone),,titre,"Possid. indic. 6,40 (MA 2, p. 171) ; Civ. Dei XXII, 8",,
3,13,Carthage,Mensa Cypriani,titre,,10.312944,36.847009
4,14,Carthage,B. Nouarum,titre,,10.312944,36.847009
5,15,Carthage,B. Petri,titre,,10.312944,36.847009
6,19,Carthage,B. Restituta,titre,,10.312944,36.847009
7,23,Carthage,B. Fausti,titre,,10.312944,36.847009
8,24,Carthage,,C. citée,,10.312944,36.847009
9,26,Carthage,B. Theodosiana,titre,,10.312944,36.847009
10,29,Carthage,B. Restituta,titre,,10.312944,36.847009
11,30,Carthage,B. Tricilarum,titre,,10.312944,36.847009
12,32,Carthage,B. Tricilarum (?),lien avec autre s.,,10.312944,36.847009
13,34,Carthage,B. Maiorum,titre,,10.312944,36.847009
14,37,Carthage,B. Nouarum,titre,,10.312944,36.847009
15,46,Carthage,,détail du texte,,10.312944,36.847009
16,47,Carthage,,lié à s. 46,,10.312944,36.847009
17,48,Carthage,B. Celerinae,titre,,10.312944,36.847009
18,49,Carthage,Mensa Cypriani,titre,,10.312944,36.847009
19,53,Carthage,B. Tricilarum,titre,,10.312944,36.847009
20,61,hors d’Hippone,,péroraison,,,
21,62,Carthage,,Carthage citée,,10.312944,36.847009
22,82,Milev,,titre,,6.265226,36.450056
23,83,Milev,, lié à s. 82,,6.265226,36.450056
24,90,Carthage,B. Restituta,titre,,10.312944,36.847009
25,105,Carthage,,Carthage citée,,10.312944,36.847009
26,112,Carthage,B. Restituta,titre,,10.312944,36.847009
27,114,Carthage,Mensa Cypriani,titre,,10.312944,36.847009
28,131,Carthage,Mensa Cypriani,titre,,10.312944,36.847009
29,134,Carthage,B. Fausti,titre,,10.312944,36.847009
30,138,Carthage,,«(iste) Cyprianus» § 1.3,,10.312944,36.847009
